"iso2c","count_bpho","urb","ugr","vdr","adis","Species"
"FI",13,84.42222222222222,0.534381673662554,159.71466666666666,4.218,2
"PL",15,60.65211111111111,-0.21303864011204449,406.8156666666667,3.348333333333333,1
"SE",14,85.96133333333333,1.0980150836183828,90.188,5.206333333333333,1
"MU",5,41.343111111111114,0.027575120987026257,80.09666666666666,3.957666666666667,0
"HU",10,69.47944444444444,0.31038320650015944,350.2753333333333,3.6766666666666667,4
"BE",10,97.75438888888888,0.6627327177593513,121.103,5.505333333333334,1
"CZ",9,73.556,0.20296215192728925,419.831,3.4276666666666666,2
"KZ",10,57.03055555555556,1.4937790932659412,180.49133333333333,2.244666666666667,6
"EE",1,68.55288888888889,-0.1294514019484949,231.216,3.655333333333333,1
"DK",9,87.09438888888889,0.6451266052113577,87.649,5.357,1
"KG",2,35.76444444444444,1.8555201746228907,233.52633333333333,2.162,6
"NA",4,44.28944444444444,3.8984823509451307,132.53333333333333,3.5413333333333332,23
"NO",7,80.20088888888888,1.3743360539609955,84.12366666666667,7.471666666666667,1
"LV",5,68.00416666666666,-1.0271288163207972,238.74099999999999,4.0409999999999995,1
"AT",11,58.06272222222222,0.5076387579661322,92.31866666666667,6.401666666666666,0
"IS",1,93.55961111111111,1.4690654400239957,87.73966666666666,5.563,0
"RU",16,73.96772222222222,0.07069887889776055,276.25733333333335,3.372,13
"GB",24,81.94144444444444,0.999979381302145,109.086,4.778333333333333,1
"BY",8,75.92694444444444,0.3593466575274887,277.185,3.7616666666666667,1
"DE",19,76.92766666666667,0.1871181427309453,88.909,6.688,3
"CH",13,73.67427777777777,0.9901724313825473,124.87633333333333,7.310666666666667,2
"SK",7,54.44588888888889,-0.13112741389955365,349.357,3.697,2
"PH",21,46.14705555555555,1.9753505541222967,149.03166666666667,4.638333333333334,30
"UA",12,68.77172222222222,-0.2991865275464844,298.4103333333333,3.244333333333333,4
"NL",13,88.14144444444445,1.2179003223414988,65.799,7.316333333333334,2
"US",24,81.25316666666667,0.9726147200645466,168.16333333333333,6.239,36
"SI",3,53.263555555555556,0.7577818314092963,370.9836666666667,3.661,6
"LU",3,89.22366666666667,2.308705195096665,85.95,5.852333333333333,0
"JM",3,54.400888888888886,0.7879432512441151,369.5466666666667,4.125,0
"IE",14,62.0505,1.6391005194485369,89.902,7.306,0
"NZ",16,86.3685,1.373093649574044,378.42133333333334,8.101,0
"AU",23,85.42805555555556,1.600068215810826,339.7203333333333,6.025,66
"CL",12,87.23294444444444,1.2195868936491105,233.679,5.92,4
"ZM",4,40.68838888888889,4.5263469981891635,235.696,3.8746666666666667,25
"TT",2,53.844722222222224,0.45238140532988774,274.5006666666667,3.959,0
"LS",1,25.764833333333332,2.599132326863058,145.87466666666666,3.630333333333333,7
"CR",5,73.85355555555556,2.5704132034676257,476.9096666666667,4.298666666666667,28
"CA",22,80.98305555555555,1.1686493424143758,241.01,4.447333333333333,7
"RS",7,55.26733333333333,-0.1774866511995847,400.293,3.5466666666666664,4
"UY",5,94.59977777777777,0.3550886110751861,254.276,5.461666666666667,11
"GE",4,56.507222222222225,0.3423998738091397,191.56166666666667,2.6703333333333332,11
"PE",17,76.81261111111111,1.4165003111222485,377.202,5.727666666666667,46
"AM",2,63.41177777777778,-0.6163233212064269,226.278,3.3356666666666666,9
"ZA",15,63.490833333333335,1.9997189345857034,99.39666666666666,3.9213333333333336,37
"GT",7,49.26394444444445,2.4507197318939857,479.269,4.281666666666666,29
"HR",4,55.76994444444445,-0.16079448571092056,239.01066666666665,3.8,5
